Code;Bezeichnung;Leistung_Einheit;Kosten_CHF_h;Treibstoff_CHF_h;Flaechenleistung_ha_h
9227;3 m-Pick-up zu selbstfahrendem Häcksler, 478 kW;390 a/h;125.0;0.0;3.9
9228;3 m-Pick-up zu selbstfahrendem Häcksler, 625 kW;420 a/h;130.0;0.0;4.2
10000;Gebläse und Dosiergeräte;;0.0;0.0;1.0
10001;Häckselgebläse, Zapfwellenantrieb; ;32.0;0.0;1.0
10002;Vielzweckgebläse, Elektromotor, 11 kW (15 PS);11 kW;30.0;0.0;1.0
10003;Dosiergerät;4 Fu/h;87.0;0.0;4.0
10004;Zubringerband zu Gebläse und Dosiergerät, 3−3.5 m;4 Fu/h;17.0;0.0;4.0
10005;Dieselmotor, Occasion, Antrieb von Häckselgebläse oder Mühle, 175 kW (238 PS) ;175 kW;29.0;0.0;4.0
10006;Häckselgebläse mit aufgebautem Occasions-Dieselmotor, 175 kW (238 PS);175 kW;28.0;0.0;4.0
10010;Förderbänder;;0.0;0.0;1.0
10011;Förderband, 6 m, Elektromotor, 1 kW (2 PS) ;1 kW;34.0;0.0;1.0
10012;Förderband, 10 m, Elektromotor, 2 kW (3 PS) ;2 kW;45.0;0.0;1.0
10030;Futterentnahme und Fütterung;;0.0;0.0;15.0
10031;Futtermischwagen mit Messer und Waage, 7 m3;2 Fu/h;25.0;0.0;10.0
10032;Futtermischwagen mit Messer und Waage, 10 m3;2 Fu/h;30.0;0.0;50.0
10033;Futtermischwagen mit Messer und Waage, 12 m3;2 Fu/h;34.0;0.0;20.0
10034;Futtermischwagen mit Messer und Waage, 14 m3;2 Fu/h;33.0;0.0;20.0
10035;Futtermischwagen mit Messer und Waage, 16 m3;2 Fu/h;40.0;0.0;1.0
10049;Futtermischwagen mit Messer und Waage, 25 m3;2 Fu/h;50.0;0.0;1.0
10036;Futtermischwagen mit Schneidschild, Waage, 7 m3 ;2 Fu/h;32.0;0.0;1.0
10037;Futtermischwagen mit Schneidschild, Waage, 10 m3;2 Fu/h;41.0;0.0;100.0
10038;Futtermischwagen mit Schneidschild, Waage, 12 m3 ;2 Fu/h;43.0;0.0;100.0
10039;Futterfräs- und -mischwagen mit Waage, 14 m3 ;2 Fu/h;47.0;0.0;100.0
10040;Futterfräs- und -mischwagen mit Waage, 16 m3 ;2 Fu/h;52.0;0.0;100.0
10041;Futterfräs- und -mischwagen mit Waage, 18 m3 ;2 Fu/h;53.0;0.0;50.0
10042;Fräsmischwagen, selbstfahrend, Diesel, 17 m3 (130 kW, 175 PS) ;4 Fu/h;120.0;0.0;100.0
10043;Siloentnahme- und Verteilgerät, 2.3 m3;5 m³/h;16.0;0.0;1.0
10045;Blockschneider für Fahrsiloentnahme, 1.5−1.9 m3;10 m³/h;29.0;0.0;1.0
10046;Rundballenschneider;;18.0;0.0;1.0
10047;Abwickel- und Verteilgerät für Rundballen;;28.0;0.0;30.0
10048;Futtermischer, Elektromotor, 4 kW (5 PS);4 kW;27.0;1.16;30.0
10051;Futtermischwagen, selbstfahrend, elektr. (18 kW, Kabel), 3−5 m³ ;2 Fu/h;45.0;0.0;30.0
10052;Futtermischwagen, selbstfahrend, elektr. (22 kW, Kabel), 7−10 m³;2 Fu/h;57.0;0.0;30.0
10053;Futtermischwagen, selbstfahrend, elektr. (22 kW, Kabel), 12−14 m³ ;2 Fu/h;60.0;0.0;30.0
11000;Stroheinstreu;;0.0;0.0;30.0
11004;Stroh-Einstreugerät;;59.0;0.0;30.0
11010;Reinigungsgeräte;;0.0;0.0;50.0
11011;Wisch- und Reinigungsmaschine, bis 2.25 m;;16.0;0.0;70.0
11012;Hochdruckreiniger, Elektromotor, 8 kW (11 PS), bis 200 bar; ;12.0;0.0;100.0
11013;Hochdruckreiniger mit Heisswasser, Elektromotor, 7.8 kW (11 PS), bis 200 bar; ;16.5;0.0;20.0
11020;Diverse Geräte;;0.0;0.0;50.0
11021;Generator, Zapfwellenantrieb, 30 kVA (24 kW, 40 A);24 kW;8.5;0.0;1.0
11022;Generator, Zapfwellenantrieb, 50 kVA (40 kW, 63 A);40 kW;10.6;0.0;1.0
11023;Generator, Dieselmotor, 40 kVA (32 kW);32 kW;45.0;15.81;1.0
11024;Generator, Dieselmotor, 60 kVA (48 kW);48 kW;58.0;23.72;1.0
11026;Heizofen ohne Oel, 100 000 kcal, 120 kW; ;4.5;0.0;20.0
11027;Feuchtgetreidemühle, Zapfwellenantrieb, Dreipunktanbau, ab 36 kW (50 PS);10 t/h;59.0;0.0;20.0
11033;Körnerschnecke, 6 m, Elektromotor, 1 kW (2 PS);10 t/h;40.0;0.0;20.0
11030;Klauenpflegestand, kippbar, mobil (3-Punkt); ;0.0;0.0;30.0
11031;Behandlungsstand für Rindvieh;;0.0;0.0;1.0
11034;Fang- und Behandlungsanlage für Rindvieh, mobil;;0.0;0.0;1.0
11032;Elektronische Waage zu Fang- und Behandlungsanlage mit Wiegestäben;;0.0;0.0;1.0
12000;Sägen und Spalten (siehe auch Motor-Kleingeräte);;0.0;0.0;1.0
12001;Kreissäge mit Elektromotor; ;8.4;0.0;1.0
12002;Kreissäge mit Zapfwellenantrieb; ;10.0;0.0;50.0
12004;Kleinholzspalter mit hydraulischem Spaltkeil;1 m³/h;6.8;0.0;50.0
12005;Holzspaltmaschine für Spälten, hydraulisch, Zapfwellenantrieb;3 m³/h;14.0;0.0;50.0
12006;Seilzug zu Holzspaltmaschine für Spälten;3 m³/h;7.4;0.0;50.0
12007;Holzspalter für Spälten, fahrbar, Zapfwellenantrieb;4 m³/h;22.0;0.0;50.0
12008;Holzspalter für Spälten, fahrbar, Aufbaumotor, 10 kW (14 PS);4 m³/h;24.0;4.38;50.0
12009;Bündelgerät für Holz, 1 m3;;0.0;0.0;50.0
12010;Schneidspalter;3 m³/h;22.0;0.0;100.0
12012;Schäl- und Spitzmaschine für Pfähle; ;17.0;0.0;1000.0
12020;Seilwinden und Transportzubehör;;0.0;0.0;50.0
12022;Eintrommel-Anbauseilwinde, 4 t Zugkraft; ;9.0;0.0;200.0
12023;Eintrommel-Anbauseilwinde, 6.5 t Zugkraft; ;10.0;0.0;1.0
12033;Eintrommel-Anbauseilwinde, 8 t Zugkraft; ;13.0;0.0;1.0
12034;Doppeltrommel-Anbauseilwinde, 2 x 6 t Zugkraft; ;14.5;0.0;1.0
12024;Rückekran; ;19.0;0.0;1.0
12025;Funkgerät zu Einfachwinde; ;2.2;0.0;1.0
12026;Funkgerät zu Doppeltrommelwinde; ;2.4;0.0;10.0
12030;Polterschild zu Frontlader;;8.7;0.0;10.0
12031;Hydraulische Rückezange, Dreipunkt; ;11.5;0.0;20.0
12032;Forstanhänger mit Kran, 8−12 t; ;24.0;0.0;10.0
12040;Holzhacker;;0.0;0.0;20.0
12041;Schnitzelholzhacker, Zapfwellenantrieb, bis 10 cm Stamm Ø; ;19.0;0.0;50.0
12042;Schnitzelholzhacker, Zapfwellenantrieb, bis 25 cm Stamm Ø; ;23.0;0.0;15.0
12050;Pflegen und Pflanzen;;0.0;0.0;20.0
12051;Forstmulchgerät, bis 2.3 m;;41.0;0.0;1.0
12053;Stockfräse; ;40.0;0.0;1.0
12055;Pflanzlochbohrer, Dreipunktanbau; ;8.8;0.0;30.0
12070;Baumaschinen;;0.0;0.0;25.0
12073;Kompaktbagger, 1 t, 7.5 kW (10 PS);8 kW;27.0;3.09;50.0
12074;Kompaktbagger, 1.7 t, 12 kW (16 PS);12 kW;39.0;4.94;50.0
12075;Raupentransporter, 500 kg, Benzin, 4.5 kW (6 PS);4 kW;28.0;2.45;30.0
12076;Raupentransporter, 700 kg, Benzin, um 10 kW (13 PS);25 kW;35.0;16.41;30.0
12072;Betonmischer, 1200 l, Zapfwellenantrieb; ;8.5;0.0;30.0
13000;Pflege;;0.0;0.0;1.0
13001;Sichelmulchgerät fixe Bauweise, 2−3 m;80 a/h;24.0;0.0;0.8
13002;Sichelmulchgerät mit einseitigem Schwenkarm, 2−3 m;50 a/h;18.0;0.0;0.5
13003;Sichelmulchgerät mit beidseitigem Schwenkarm, 2−3.5 m;80 a/h;36.0;0.0;0.8
13004;Schlegelmulchgerät ohne Holzräumer, 1.3−2.7 m;100 a/h;49.0;0.0;1.0
13005;Schlegelmulchgerät mit Holzräumer, 1.3−2 m;50 a/h;29.0;0.0;0.5
13006;Holzräumer, einseitig;50 a/h;16.0;0.0;0.5
13007;Hackgerät für Baumreihe, einseitig, mit Tastarm (Ladurner);20 a/h;26.0;0.0;0.2
13008;Hackgerät für Baumreihe, beidseitig, mit Tastarm (Typ Ladurner);40 a/h;39.0;0.0;0.4
13012;Rollhacke mit Fingerhacke, einseitig;60 a/h;21.0;0.0;0.6
13013;Rollhacke mit Fingerhacke, zweiseitig;120 a/h;59.0;0.0;1.2
13014;Fadengerät gegen Unkraut, einseitig;70 a/h;28.0;0.0;0.7
13015;Fadengerät gegen Unkraut, zweiseitig;160 a/h;94.0;0.0;1.6
13010;Fadengerät für Blütenausdünnung;50 a/h;33.0;0.0;0.5
13011;Wurzelschnittgerät, einseitig, hydraulisch; ;0.0;0.0;1.0
13016;Entlaubungsgerät pneumatisch, einseitig;15 a/h;26.0;0.0;0.15
13020;Spritzen;;0.0;0.0;20.0
13021;Anbaugebläsespritze, 500 l Fass;;0.0;0.0;1.0
13026;Anbaugebläsespritze, 500 l Fass, mit Bordcomputer;;0.0;0.0;1.0
13022;Anhängegebläsespritze, 1000 l Fass;;0.0;0.0;1.0
13027;Anhängegebläsespritze, 1000 l Fass, mit Bordcomputer;;0.0;0.0;1.0
13023;Herbizidbalken einseitig, mit hydraulischer Breitenverstellung;;0.0;0.0;10.0
13024;Herbizidbalken beidseitig, mit hydraulischer Breitenverstellung;;0.0;0.0;10.0
13025;Herbizidfass, Aufsattelspritze 400 l;;0.0;0.0;10.0
13030;Erntegeräte und Transportzubehör;;0.0;0.0;10.0
13031;Baumschüttler mit Seil;5 Bäume/h;16.0;0.0;10.0
13032;Baumschüttler, hydraulisch angetrieben, Dreipunktanbau;;59.0;0.0;10.0
13033;Mostobstauflesemaschine, 3 kW (4 PS);0.8 t/h;17.0;2.1;10.0
13034;Aufsitz-Mostobstauflesemaschine, Benzin, 15 kW (20 PS);2.5 t/h;47.0;7.7;5.0
13035;Erntewagen für 1 Grosskiste, für Erntezug (2-achsig);;0.0;0.0;1.0
13036;Erntewagen für 1 Grosskiste (1-achsig);;0.0;0.0;1.0
13037;Erntewagen für 4 Grosskisten;;0.0;0.0;1.0
13038;Arbeitsbühne 2 Personen, selbstfahrend, elektrisch;5 kW;9.5;0.58;1.0
13039;Arbeitsbühne Standard, selbstfahrend, elektrisch;3 kW;20.0;0.35;15.0
13040;Arbeitsbühne Vollausstattung, selbstfahrend, elektrisch;5 kW;29.0;0.58;15.0
13041;Arbeitslift für Hochstammarbeiten;7 kW;20.0;2.45;10.0
13042;Obsterntemaschine mit Pflückbändern, Pluk-O-Track, Benzin, 8 kW (11 PS);8 kW;27.0;4.9;10.0
13043;Leerkistenwagen zu Obsterntemaschine;;5.5;0.0;5.0
13044;Packpresse, hydraulisch, fahrbar; ;0.0;0.0;1.0
13050;Diverse Geräte und Spezialgeräte für Beerenanbau;;0.0;0.0;1.0
13051;Pfahlrammer, bis 3.6 m; ;22.0;0.0;10.0
