Hersteller;Modell_Nr;Typ;Handelsname;Nenndrehzahl_rpm;Motor_Nennleistung_kW;Max_Druck_mbar;Vol_2mbar;Pwr_2mbar;Vol_3mbar;Pwr_3mbar;Vol_4mbar;Pwr_4mbar;Vol_5mbar;Pwr_5mbar;Vol_6mbar;Pwr_6mbar;Vol_7mbar;Pwr_7mbar;Vol_8mbar;Pwr_8mbar
Wild;971H;RE;WL 50;825;7.5;12.2;9.7;7.1;9.2;7.5;8.7;7.9;8.2;8.1;7.7;8.2;7;8.2;6.3;8.2
Wild;1071;RE;WL 40;1160;11;17;9.4;10.4;9.2;10.8;9;11.1;8.8;11.5;8.5;11.7;8.2;12;7.9;12.1
Wild;991T;RD;WL 80;750;5.5;7.8;11.5;5.8;10.5;6.2;9.4;6.4;8.1;6.3;6.6;6;4.6;5.2;;
Wild;1073K;RD;WL 60;994;7.5;10.6;11.6;7.9;10.9;8.3;10.1;8.6;9.4;8.9;8.8;8.8;7.8;8.7;6.9;8.6
Wild;1071H;RE;WL 40;1300;15;21.4;10.7;14.4;10.5;14.9;10.3;15.3;10.1;15.7;9.9;16;9.7;16.3;9.4;16.6
Wild;1072T;RE;WL 50;932;11;15.2;10.9;10.4;10.6;10.8;10.3;11.1;9.9;11.3;9.5;11.5;9.1;11.6;8.6;11.6
Wild;972T;RD;WL 100;610;5.5;6.9;13.5;6.1;12.1;6.5;10.5;6.6;8.6;6.4;6;5.6;;;;
Wild;1073H;RD;WL 60;1042;9.2;11.7;12.3;9;11.6;9.5;10.9;9.8;10.2;10.1;9.5;10.3;8.8;10.1;7.9;10
Wild;991K;RD;WL 80;825;7.5;9.4;13.1;7.5;12.1;8;11.2;8.3;10.1;8.5;9;8.4;7.7;8.1;6;7.5
Wild;1072;RE;WL 50;1055;15;19.4;12.5;14.9;12.2;15.3;12;15.7;11.7;16.1;11.3;16.3;11;16.6;10.6;16.8
Wild;972;RD;WL 100;660;7.5;8;15.1;7.6;13.8;8;12.3;8.2;10.8;8.3;8.9;8;6.5;7.1;3.2;4.7
Wild;991H;RD;WL 80;892;9.2;11;14.5;9.3;13.6;9.9;12.7;10.3;11.8;10.6;10.8;10.7;9.7;10.6;8.5;10.3
Wild;1072H;RE;WL 50;1120;18.5;21.9;13.3;17.7;13.1;18.2;12.8;18.5;12.6;19;12.3;19.3;12;19.6;11.6;19.9
Wild;991J;RD;WL 80;940;11;12.2;15.5;10.7;14.6;11.3;13.7;11.9;12.9;12.3;12;12.5;11;12.5;10;12.3
Wild;972H;RD;WL 100;725;9.2;9.7;17;9.7;15.9;10.4;14.7;10.8;13.3;10.9;12;11.1;10.3;10.9;8.2;10
Wild;1220;RD;WL 100;780;11;10.8;18.7;12.3;17.6;13.1;16.4;13.7;15.3;14.2;14.3;14.3;12.9;14.2;11.4;13.9
Wild;1222;RD;WL 120;618;11;8.7;20.9;11.3;19.1;11.8;17.6;12.5;15.9;12.6;13.8;12.5;11.3;11.9;8;10.3
Wild;992K;RD;WL 100;845;15;13.3;20.5;14.7;19.5;15.5;18.5;16.3;17.5;16.8;16.6;17.3;15.3;17.2;14.1;17.3
Wild;1221;RD;WL 100;888;18.5;13.9;21.9;17;20.9;17.7;19.9;18.5;19;19.2;18;19.7;17;20;16.1;20.1
Wild;1075K;RD;WL 120;695;15;10.5;23.5;14.3;22.2;15.2;20.7;15.9;19.3;16.6;17.9;16.9;16;16.7;14;16.4
Wild;1223;RD;WL 120;740;18.5;12.3;25.7;17.2;24.1;17.9;22.8;18.6;21.6;19.4;20.2;20;18.7;20;16.9;19.8
Wild;1076K;RD;WL 120;793;22;13.7;27.6;20.4;26.3;21.2;25.1;22.1;23.9;22.9;22.7;23.6;21.4;24.2;20;24.1
Wild;1076H;RD;WL 120;888;30;17.2;31.5;28.2;30.4;29.3;29.2;29.9;28.1;31;27;32;26;32.7;24.9;33.5
Zumstein;1606T;RE;RLZ 41 E;1365;3;10.3;3.8;2.8;3.6;3;3.4;3.2;3.2;3.3;3;3.4;2.7;3.5;2.4;3.4
Zumstein;1606;RE;RLZ 41 E;1365;4;12.5;4.3;3.7;4.1;3.9;3.9;4.1;3.7;4.3;3.5;4.4;3.3;4.5;3.1;4.6
Zumstein;1607T;RE;RLZ 58 E;995;3;7.5;5.1;2.8;4.7;3;4.3;3.2;3.8;3.3;3.2;3.3;2.3;3.1;;
Zumstein;1606H;RE;RLZ 41 E;1518;5.5;15.5;4.8;5;4.7;5.2;4.5;5.4;4.3;5.6;4.2;5.8;4;6;3.8;6.1
Zumstein;1616T;RD;RLZ 76;977;3;6.7;6;3;5.4;3.3;4.8;3.4;4.1;3.5;3.1;3.4;;;;
Zumstein;1067K;RE;RLZ 58 E;934;4;9;5.8;3.6;5.4;3.9;5;4.1;4.6;4.3;4.2;4.4;3.7;4.5;3;4.3
Zumstein;1608T;RE;RLZ 62 E;805;4;8.5;6.6;3.8;6.1;4.1;5.6;4.3;5.1;4.6;4.5;4.7;3.8;4.6;2.6;4
Zumstein;1616K;RD;RLZ 76;1075;4;8.1;6.8;3.9;6.3;4.2;5.7;4.4;5.2;4.6;4.5;4.7;3.8;4.6;2.3;3.9
Zumstein;1607H;RE;RLZ 58 E;1039;5.5;11.2;6.6;4.8;6.3;5.1;5.9;5.4;5.6;5.7;5.2;5.9;4.9;6.1;4.4;6.2
Zumstein;1608K;RE;RLZ 62 E;895;5.5;10.5;7.5;5.1;7.1;5.5;6.7;5.7;6.2;5.9;5.8;6.2;5.3;6.4;4.7;6.4
Zumstein;1616H;RD;RLZ 76;1195;5.5;10.1;7.8;5.2;7.3;5.5;6.8;5.8;6.4;6.1;5.8;6.3;5.3;6.4;4.6;6.4
Zumstein;1609T;RE;RLZ 68 E;753;5.5;8.9;8.7;5;8.1;5.3;7.5;5.6;6.9;5.9;6.2;6.1;5.5;6.2;4.6;6.1
Zumstein;1120T;RD;RLZ 110-1;770;4;6.2;9.4;4.3;8.6;4.5;7.5;4.8;6.2;4.8;2.7;3.4;;;;
Zumstein;1608H;RE;RLZ 62 E;992;7.5;12.9;8.5;6.7;8.1;7.1;7.7;7.4;7.4;7.8;7;8;6.6;8.4;6.1;8.6
Zumstein;1609K;RE;RLZ 68 E;835;7.5;10.9;9.9;6.6;9.3;7;8.8;7.4;8.3;7.7;7.8;8;7.2;8.2;6.5;8.4
Zumstein;1120K;RD;RLZ 110-1;850;5.5;7.5;10.7;5.5;10;5.9;9.2;6.2;8.2;6.5;6.9;6.5;5.1;6;;
Zumstein;1119T;RD;RLZ 110;870;5.5;7.9;11;5.6;10.3;6;9.5;6.3;8.6;6.6;7.5;6.7;6;6.5;;
Zumstein;1610T;RE;RLZ 73 E;704;7.5;9.7;10.9;6.7;10.2;7.2;9.6;7.6;8.9;8;8.2;8.2;7.3;8.3;6.4;8.3
Zumstein;1609H;RE;RLZ 68 E;949;11;14.1;11.5;9.3;11;9.9;10.6;10.3;10.1;10.8;9.6;11.2;9.2;11.5;8.7;11.9
Zumstein;1119;RD;RLZ 110;940;7.5;9.2;12.1;6.9;11.5;7.5;10.7;7.7;10;8.1;9.2;8.4;8.2;8.4;6.7;8.2
Zumstein;1610K;RE;RLZ 73 E;800;11;12.6;12.7;9.5;12.1;10.1;11.6;10.6;11;11.1;10.4;11.5;9.8;11.8;9.1;12
Zumstein;1119H;RD;RLZ 110;1025;9;11;13.4;8.7;12.8;9.3;12.2;9.8;11.6;10.1;10.9;10.5;10.1;10.8;9.2;10.9
Zumstein;1121T;RD;RLZ 115;790;7.5;8.4;14.2;7.7;13.3;8.3;12.4;8.7;11.2;8.9;10.1;9.2;8.6;9;6.3;8
Zumstein;1190S;RD;RLZ 115-1;780;7.5;7.9;14.6;7.6;13.5;8.2;12.5;8.6;11.4;9;10;9.1;8.3;8.8;;
Zumstein;1190U;RD;RLZ 115-1;800;9;8.3;15.1;8.1;14;8.8;13.1;9.2;12;9.6;10.7;9.8;9.2;9.6;6.7;8.6
